Product Name,Product URL
Matrix Keypad,https://himalayansolution.com/product/matrix-keypad
MP3 Decoder Board,https://himalayansolution.com/product/mp3-decoder-board
GY-45  (MMA845x) Accelerometer Tilt Module,https://himalayansolution.com/product/gy-45-mma845x-accelerometer-tilt-module
LM386 Audio Amplifier Module,https://himalayansolution.com/product/lm386-audio-amplifier-module
PCF 8591 Module(ADC-DAC),https://himalayansolution.com/product/pcf-8591-module-adc-dac
BC Magnetic Reed Switch,https://himalayansolution.com/product/bc-magnetic-reed-switch
Single Channel Relay Module Compatible With Arduino,https://himalayansolution.com/product/single-channel-relay-module-compatible-with-arduino
2 Channel Relay Module,https://himalayansolution.com/product/2-channel-relay-module
4 Channel Relay Module,https://himalayansolution.com/product/4-channel-relay-module
8 Channel Relay Module,https://himalayansolution.com/product/8-channel-relay-module
Solid State 1 Channel Relay Module,https://himalayansolution.com/product/solid-state-1-channel-relay-module
2 Channel Solid state Relay Module,https://himalayansolution.com/product/2-channel-solid-state-relay-module
DS 1302 Clock Module Without Battery,https://himalayansolution.com/product/ds-1302-clock-module-without-battery
DS 1307 Clock Module,https://himalayansolution.com/product/ds-1307-clock-module
DS1302 Clock Module Without Battery,https://himalayansolution.com/product/ds1302-clock-module-without-battery
Micro Sd Card Module,https://himalayansolution.com/product/micro-sd-card-module
SD Card Module,https://himalayansolution.com/product/sd-card-module
BLUETOOTH UART MODULE BASED ON HC-05,https://himalayansolution.com/product/bluetooth-uart-module-based-on-hc-05
Bluetooth Module (XS-3868) Small,https://himalayansolution.com/product/bluetooth-module-xs-3868-small
USB to TTL CH340,https://himalayansolution.com/product/usb-to-ttl-ch340
USB to TTL CP2102 Without Cable,https://himalayansolution.com/product/usb-to-ttl-cp2102-without-cable
16 Channel Relay Module,https://himalayansolution.com/product/16-channel-relay-module
ST-LINK/V2 (Debugging and Programming),https://himalayansolution.com/product/st-link-v2-debugging-and-programming
DPDT Switch,https://himalayansolution.com/product/dpdt-switch
Servo Bracket,https://himalayansolution.com/product/servo-bracket
40 Pin ZIP  IC Socket,https://himalayansolution.com/product/40-pin-zip-ic-socket
28 Pin Zip IC Socket,https://himalayansolution.com/product/28-pin-zip-ic-socket
12V Relay,https://himalayansolution.com/product/12v-relay
Touch Keypad,https://himalayansolution.com/product/touch-keypad
DC Motor Holder,https://himalayansolution.com/product/dc-motor-holder
Power Supply 10 Amp 30 V,https://himalayansolution.com/product/power-supply-10-amp-30-v
3 x 4 Keypad,https://himalayansolution.com/product/3-x-4-keypad
4 x 4 Keypad,https://himalayansolution.com/product/4-x-4-keypad
4 x 4 Matrix Keypad Module,https://himalayansolution.com/product/4-x-4-matrix-keypad-module
Wireless Remote With Circuit Board,https://himalayansolution.com/product/wireless-remote-with-circuit-board
16*2 LCD Module,https://himalayansolution.com/product/16-2-lcd-module
20* 4 LCD Module,https://himalayansolution.com/product/20-4-lcd-module
5V Relay,https://himalayansolution.com/product/5v-relay
I2C Connector Module,https://himalayansolution.com/product/i2c-connector-module
Anti Static Tweezer Set (6 Pcs),https://himalayansolution.com/product/anti-static-tweezer-set-6-pcs
Thermistor black head 10K,https://himalayansolution.com/product/thermistor-black-head-10k
A5 Size PCB,https://himalayansolution.com/product/a5-size-pcb
Sonoff Basic WiFi Smart Switch,https://himalayansolution.com/product/sonoff-basic-wifi-smart-switch
Single Side PCB (A6 Size),https://himalayansolution.com/product/single-side-pcb-a6-size
Double Side PCB (A6 Size ),https://himalayansolution.com/product/double-side-pcb-a6-size
Matrix Board 9*15 cm,https://himalayansolution.com/product/matrix-board-9-15-cm
